10,3
3,5
25,7
49,9
28,11
47,13
22,15
161,17
87,19
4,3
24,5
12,7
58,9
39,11
35,13
45,15
108,17
185,19
2,3
31,5
5,7
20,9
93,11
75,13
53,15
27,17
94,19
6,3
12,5
18,7
6,9
51,11
44,13
107,15
25,17
201,19
2,3
5,5
14,7
28,9
109,11
27,13
25,15
106,17
22,19
2,3
8,5
44,7
30,9
25,11
68,13
54,15
131,17
377,19
6,3
5,5
10,7
23,9
37,11
23,13
41,15
53,17
47,19
2,3
4,5
16,7
51,9
24,11
40,13
116,15
47,17
143,19
9,3
12,5
13,7
16,9
25,11
109,13
70,15
25,17
154,19
3,3
9,5
10,7
49,9
15,11
26,13
51,15
219,17
93,19
109,19
3,3
9,5
16,7
12,9
29,11
140,13
128,15
144,17
62,19
5,3
14,5
27,7
63,9
61,11
85,13
55,15
71,17
102,19
7,3
4,5
7,7
23,9
79,11
154,13
63,15
143,17
52,19
2,3
23,5
16,7
19,9
90,11
74,13
49,15
77,17
278,19
11,3
17,5
22,7
23,9
23,11
20,13
40,15
70,17
51,19
2,3
11,5
13,7
34,9
121,11
18,13
61,15
69,17
95,19
13,3
8,5
16,7
34,9
95,11
102,13
104,15
59,17
131,19
4,3
12,5
23,7
31,9
18,11
28,13
44,15
151,17
88,19
3,3
29,5
19,7
17,9
37,11
52,13
21,15
148,17
45,19
3,3
13,5
9,7
19,9
100,11
70,13
57,15
54,17
544,19
3,3
10,5
11,7
71,9
14,11
150,13
62,15
284,17
32,19
2,3
12,5
11,7
19,9
87,11
69,13
21,15
61,17
36,19
3,3
21,5
24,7
52,9
69,11
54,13
30,15
100,17
56,19
3,3
37,5
15,7
18,9
33,11
35,13
70,15
36,17
213,19
5,3
3,5
7,7
11,9
77,11
44,13
44,15
213,17
54,19
3,3
11,5
24,7
14,9
71,11
25,13
24,15
121,17
68,19
5,3
8,5
12,7
27,9
22,11
77,13
61,15
194,17
69,19
4,3
3,5
16,7
20,9
89,11
36,13
33,15
212,17
112,19
3,3
13,5
22,7
24,9
52,11
25,13
50,15
21,17
21,19
7,3
11,5
19,7
11,9
68,11
58,13
57,15
70,17
27,19
2,3
10,5
57,7
16,9
34,11
41,13
78,15
101,17
86,19
4,3
20,5
17,7
8,9
27,11
53,13
37,15
34,17
339,19
2,3
5,5
75,7
10,9
19,11
19,13
90,15
139,17
99,19
2,3
3,5
39,7
10,9
53,11
120,13
57,15
47,17
322,19
4,3
6,5
7,7
58,9
34,11
58,13
56,15
299,17
204,19
22,13
48,11
60,15
9,5
5,3
2,3
54,17
33,17
70,19
30,13
69,15
8,5
5,3
157,13
32,13
10,3
22,5
31,13
25,19
93,19
190,19
45,17
3,3
24,17
15,5
41,13
33,9
12,5
47,19
48,13
176,19
256,19
24,15
50,19
17,5
117,19
209,19
47,13
84,19
16,5
73,15
5,7
101,19
14,9
125,17
71,17
43,13
11,5
7,5
56,13
58,13
35,15
35,13
27,15
36,13
158,15
39,13
113,15
67,13
83,15
217,13
64,15
46,13
101,15
33,13
57,15
30,13
50,15
141,13
72,15
175,13
53,15
56,13
17,15
34,13
51,15
39,13
89,15
53,13
55,15
69,13
34,15
99,13
72,15
14,13
158,15
82,13
48,15
42,13
63,15
56,13
21,15
16,13
73,15
99,13
56,15
28,13
78,15
41,13
73,15
5,3
4,3
5,3
3,3
4,3
4,3
2,3
4,3
3,3
3,3
2,3
5,3
2,3
3,3
3,3
3,3
2,3
7,3
3,3
3,3
6,3
8,3
2,3
2,3
4,3
5,3
5,3
2,3
3,3
3,3
5,3
2,3
9,3
3,3
10,3
2,3
3,3
7,3
2,3
2,3
6,3
2,3
3,3
2,3
4,3
3,3
2,3
2,3
9,3
